poly 0 || [(1, 0), (0, 0), (0, 1)] || area : -1.000000 ||[1, 0, 5] 
poly 1 || [(1, 0), (0, 0), (1, 1)] || area : -1.000000 ||[1, 0, 6] 
poly 2 || [(1, 0), (0, 0), (2, 1)] || area : -1.000000 ||[1, 0, 7] 
poly 3 || [(1, 0), (0, 0), (3, 1)] || area : -1.000000 ||[1, 0, 8] 
poly 4 || [(1, 0), (0, 0), (0, 2)] || area : -2.000000 ||[1, 0, 10] 
poly 5 || [(1, 0), (0, 0), (1, 2)] || area : -2.000000 ||[1, 0, 11] 
poly 6 || [(1, 0), (0, 0), (2, 2)] || area : -2.000000 ||[1, 0, 12] 
poly 7 || [(1, 0), (0, 0), (3, 2)] || area : -2.000000 ||[1, 0, 13] 
poly 8 || [(1, 0), (0, 0), (0, 3)] || area : -3.000000 ||[1, 0, 15] 
poly 9 || [(1, 0), (0, 0), (1, 3)] || area : -3.000000 ||[1, 0, 16] 
poly 10 || [(1, 0), (0, 0), (2, 3)] || area : -3.000000 ||[1, 0, 17] 
poly 11 || [(1, 0), (0, 0), (3, 3)] || area : -3.000000 ||[1, 0, 18] 
poly 12 || [(2, 0), (0, 0), (0, 1)] || area : -2.000000 ||[2, 0, 5] 
poly 13 || [(2, 0), (0, 0), (1, 1)] || area : -2.000000 ||[2, 0, 6] 
poly 14 || [(2, 0), (0, 0), (2, 1)] || area : -2.000000 ||[2, 0, 7] 
poly 15 || [(2, 0), (0, 0), (3, 1)] || area : -2.000000 ||[2, 0, 8] 
poly 16 || [(2, 0), (0, 0), (0, 2)] || area : -4.000000 ||[2, 0, 10] 
poly 17 || [(2, 0), (0, 0), (1, 2)] || area : -4.000000 ||[2, 0, 11] 
poly 18 || [(2, 0), (0, 0), (2, 2)] || area : -4.000000 ||[2, 0, 12] 
poly 19 || [(2, 0), (0, 0), (3, 2)] || area : -4.000000 ||[2, 0, 13] 
poly 20 || [(2, 0), (0, 0), (0, 3)] || area : -6.000000 ||[2, 0, 15] 
poly 21 || [(2, 0), (0, 0), (1, 3)] || area : -6.000000 ||[2, 0, 16] 
poly 22 || [(2, 0), (0, 0), (2, 3)] || area : -6.000000 ||[2, 0, 17] 
poly 23 || [(2, 0), (0, 0), (3, 3)] || area : -6.000000 ||[2, 0, 18] 
poly 24 || [(3, 0), (0, 0), (0, 1)] || area : -3.000000 ||[3, 0, 5] 
poly 25 || [(3, 0), (0, 0), (1, 1)] || area : -3.000000 ||[3, 0, 6] 
poly 26 || [(3, 0), (0, 0), (2, 1)] || area : -3.000000 ||[3, 0, 7] 
poly 27 || [(3, 0), (0, 0), (3, 1)] || area : -3.000000 ||[3, 0, 8] 
poly 28 || [(3, 0), (0, 0), (0, 2)] || area : -6.000000 ||[3, 0, 10] 
poly 29 || [(3, 0), (0, 0), (1, 2)] || area : -6.000000 ||[3, 0, 11] 
poly 30 || [(3, 0), (0, 0), (2, 2)] || area : -6.000000 ||[3, 0, 12] 
poly 31 || [(3, 0), (0, 0), (3, 2)] || area : -6.000000 ||[3, 0, 13] 
poly 32 || [(3, 0), (0, 0), (0, 3)] || area : -9.000000 ||[3, 0, 15] 
poly 33 || [(3, 0), (0, 0), (1, 3)] || area : -9.000000 ||[3, 0, 16] 
poly 34 || [(3, 0), (0, 0), (2, 3)] || area : -9.000000 ||[3, 0, 17] 
poly 35 || [(3, 0), (0, 0), (3, 3)] || area : -9.000000 ||[3, 0, 18] 
poly 36 || [(0, 0), (0, 1), (1, 1)] || area : -0.500000 ||[0, 5, 6] 
poly 37 || [(0, 0), (0, 1), (2, 1)] || area : -1.000000 ||[0, 5, 7] 
poly 38 || [(0, 0), (0, 1), (3, 1)] || area : -1.500000 ||[0, 5, 8] 
poly 39 || [(0, 0), (0, 1), (1, 2)] || area : -0.500000 ||[0, 5, 11] 
poly 40 || [(0, 0), (0, 1), (2, 2)] || area : -1.000000 ||[0, 5, 12] 
poly 41 || [(0, 0), (0, 1), (3, 2)] || area : -1.500000 ||[0, 5, 13] 
poly 42 || [(0, 0), (0, 1), (1, 3)] || area : -0.500000 ||[0, 5, 16] 
poly 43 || [(0, 0), (0, 1), (2, 3)] || area : -1.000000 ||[0, 5, 17] 
poly 44 || [(0, 0), (0, 1), (3, 3)] || area : -1.500000 ||[0, 5, 18] 
poly 45 || [(0, 0), (1, 1), (2, 1)] || area : -0.500000 ||[0, 6, 7] 
poly 46 || [(0, 0), (1, 1), (3, 1)] || area : -1.000000 ||[0, 6, 8] 
poly 47 || [(0, 0), (0, 2), (1, 1)] || area : -1.000000 ||[0, 10, 6] 
poly 48 || [(0, 0), (1, 2), (1, 1)] || area : -0.500000 ||[0, 11, 6] 
poly 49 || [(0, 0), (1, 1), (3, 2)] || area : -0.500000 ||[0, 6, 13] 
poly 50 || [(1, 1), (0, 0), (0, 3)] || area : -3.000000 ||[6, 0, 15] 
