poly 0 || [(1, 0), (0, 0), (0, 1)] || area : -1.000000 ||[1, 0, 4] 
poly 1 || [(1, 0), (0, 0), (1, 1)] || area : -1.000000 ||[1, 0, 5] 
poly 2 || [(1, 0), (0, 0), (2, 1)] || area : -1.000000 ||[1, 0, 6] 
poly 3 || [(1, 0), (0, 0), (3, 1)] || area : -1.000000 ||[1, 0, 7] 
poly 4 || [(1, 0), (0, 0), (0, 2)] || area : -2.000000 ||[1, 0, 8] 
poly 5 || [(1, 0), (0, 0), (1, 2)] || area : -2.000000 ||[1, 0, 9] 
poly 6 || [(1, 0), (0, 0), (2, 2)] || area : -2.000000 ||[1, 0, 10] 
poly 7 || [(1, 0), (0, 0), (3, 2)] || area : -2.000000 ||[1, 0, 11] 
poly 8 || [(1, 0), (0, 0), (0, 3)] || area : -3.000000 ||[1, 0, 12] 
poly 9 || [(1, 0), (0, 0), (1, 3)] || area : -3.000000 ||[1, 0, 13] 
poly 10 || [(1, 0), (0, 0), (2, 3)] || area : -3.000000 ||[1, 0, 14] 
poly 11 || [(1, 0), (0, 0), (3, 3)] || area : -3.000000 ||[1, 0, 15] 
poly 12 || [(2, 0), (0, 0), (0, 1)] || area : -2.000000 ||[2, 0, 4] 
poly 13 || [(2, 0), (0, 0), (1, 1)] || area : -2.000000 ||[2, 0, 5] 
poly 14 || [(2, 0), (0, 0), (2, 1)] || area : -2.000000 ||[2, 0, 6] 
poly 15 || [(2, 0), (0, 0), (3, 1)] || area : -2.000000 ||[2, 0, 7] 
poly 16 || [(2, 0), (0, 0), (0, 2)] || area : -4.000000 ||[2, 0, 8] 
poly 17 || [(2, 0), (0, 0), (1, 2)] || area : -4.000000 ||[2, 0, 9] 
poly 18 || [(2, 0), (0, 0), (2, 2)] || area : -4.000000 ||[2, 0, 10] 
poly 19 || [(2, 0), (0, 0), (3, 2)] || area : -4.000000 ||[2, 0, 11] 
poly 20 || [(2, 0), (0, 0), (0, 3)] || area : -6.000000 ||[2, 0, 12] 
